,wid,rt,stimulus,response
0,w0e1d2bf,5135.899999976158,C_2 vs T_2,4.0
1,w0e1d2bf,2949.400000035763,T_2 vs C_2,4.0
2,w0e1d2bf,5718.100000023842,B_4 vs T_4,1.0
3,w0e1d2bf,7543.900000035763,B_6 vs T_6,2.0
4,w0e1d2bf,3794.700000047684,T_5 vs B_5,0.0
5,w0e1d2bf,4156.5,A_5 vs T_5,3.0
6,w0e1d2bf,3811.899999976158,T_1 vs C_1,4.0
7,w0e1d2bf,5537.800000011921,T_3 vs D_3,3.0
8,w0e1d2bf,9415.900000035765,D_1 vs T_1,0.0
9,w0e1d2bf,1334.0,T_3 vs A_3,3.0
10,w0e1d2bf,3208.699999988079,T_6 vs D_6,3.0
11,w0e1d2bf,5311.300000011921,C_3 vs T_3,4.0
12,w0e1d2bf,1766.300000011921,A_6 vs T_6,2.0
13,w0e1d2bf,5122.199999988079,T_6 vs A_6,3.0
14,w0e1d2bf,4165.300000011921,B_3 vs T_3,3.0
15,w0e1d2bf,7696.800000011921,B_2 vs T_2,1.0
16,w0e1d2bf,1942.300000011921,T_2 vs D_2,0.0
17,w0e1d2bf,4215.200000047684,T_6 vs C_6,2.0
18,w0e1d2bf,6139.600000023842,D_2 vs T_2,0.0
19,w0e1d2bf,3681.099999964237,A_2 vs T_2,4.0
20,w0e1d2bf,4497.600000023842,D_3 vs T_3,2.0
21,w0e1d2bf,3428.0,T_3 vs C_3,3.0
22,w0e1d2bf,3660.5,A_4 vs T_4,6.0
23,w0e1d2bf,2819.300000011921,T_5 vs D_5,0.0
24,w0e1d2bf,1316.399999976158,T_1 vs B_1,0.0
25,w0e1d2bf,4668.099999964237,D_5 vs T_5,0.0
26,w0e1d2bf,2306.199999988079,D_6 vs T_6,3.0
27,w0e1d2bf,1940.4000000357628,C_5 vs T_5,4.0
28,w0e1d2bf,2028.5999999642368,T_4 vs B_4,3.0
29,w0e1d2bf,2136.899999976158,C_6 vs T_6,2.0
30,w0e1d2bf,1648.399999976158,D_4 vs T_4,0.0
31,w0e1d2bf,1491.0,T_4 vs D_4,0.0
32,w0e1d2bf,2964.800000011921,A_1 vs T_1,2.0
33,w0e1d2bf,1930.199999988079,T_1 vs A_1,2.0
34,w0e1d2bf,5707.199999988079,T_5 vs A_5,4.0
35,w0e1d2bf,1954.699999988079,T_2 vs A_2,5.0
36,w0e1d2bf,1662.600000023842,A_3 vs T_3,2.0
37,w0e1d2bf,1841.0,C_1 vs T_1,4.0
38,w0e1d2bf,3295.200000047684,T_6 vs B_6,2.0
39,w0e1d2bf,2268.300000011921,B_5 vs T_5,2.0
40,w0e1d2bf,1332.899999976158,B_1 vs T_1,0.0
41,w0e1d2bf,3248.5,T_5 vs C_5,1.0
42,w0e1d2bf,1416.0,T_4 vs C_4,1.0
43,w0e1d2bf,1240.300000011921,T_4 vs A_4,1.0
44,w0e1d2bf,1098.5999999642372,C_4 vs T_4,1.0
45,w0e1d2bf,3163.100000023842,T_2 vs B_2,1.0
46,w0e1d2bf,659.7999999523163,T_1 vs D_1,0.0
47,w0e1d2bf,816.0999999642372,T_3 vs B_3,2.0
48,wb3a1943,5824.0,T_3 vs A_3,6.0
49,wb3a1943,2625.7999999523163,T_5 vs C_5,4.0
50,wb3a1943,1596.2999999523165,D_3 vs T_3,3.0
51,wb3a1943,1699.5,D_4 vs T_4,5.0
52,wb3a1943,1684.1000001430511,B_1 vs T_1,4.0
53,wb3a1943,1075.5,T_2 vs A_2,5.0
54,wb3a1943,1123.0999999046326,T_2 vs D_2,2.0
55,wb3a1943,916.5,T_3 vs C_3,2.0
56,wb3a1943,1756.1999998092651,T_6 vs B_6,2.0
57,wb3a1943,1108.2999999523165,A_1 vs T_1,5.0
58,wb3a1943,1100.2000000476835,T_4 vs A_4,4.0
59,wb3a1943,3268.099999904633,T_3 vs D_3,1.0
60,wb3a1943,2283.4000000953674,B_3 vs T_3,4.0
61,wb3a1943,1786.7000000476835,B_4 vs T_4,4.0
62,wb3a1943,1251.9000000953674,A_6 vs T_6,5.0
63,wb3a1943,1067.7999999523165,T_4 vs B_4,4.0
64,wb3a1943,1228.2000000476835,C_3 vs T_3,5.0
65,wb3a1943,2563.7999999523163,T_2 vs B_2,3.0
66,wb3a1943,836.5999999046326,T_1 vs C_1,4.0
67,wb3a1943,1428.5999999046326,T_5 vs B_5,2.0
68,wb3a1943,1867.5999999046328,T_3 vs B_3,4.0
69,wb3a1943,844.2000000476837,B_5 vs T_5,3.0
70,wb3a1943,892.0,C_2 vs T_2,4.0
71,wb3a1943,716.1000001430511,T_6 vs A_6,4.0
72,wb3a1943,953.3999998569489,A_4 vs T_4,5.0
73,wb3a1943,4900.0,D_2 vs T_2,4.0
74,wb3a1943,2515.199999809265,T_1 vs A_1,3.0
75,wb3a1943,2844.099999904633,T_6 vs D_6,4.0
76,wb3a1943,1499.4000000953674,C_6 vs T_6,5.0
77,wb3a1943,2060.199999809265,D_1 vs T_1,4.0
78,wb3a1943,1003.6999998092653,C_1 vs T_1,6.0
79,wb3a1943,739.6999998092651,T_2 vs C_2,5.0
80,wb3a1943,668.0999999046326,T_4 vs C_4,6.0
81,wb3a1943,459.2999999523163,T_4 vs D_4,6.0
82,wb3a1943,1012.0,B_2 vs T_2,2.0
83,wb3a1943,779.7999999523163,C_4 vs T_4,6.0
84,wb3a1943,1843.3999998569489,D_6 vs T_6,4.0
85,wb3a1943,1139.5,T_5 vs A_5,4.0
86,wb3a1943,1499.5999999046326,A_3 vs T_3,4.0
87,wb3a1943,459.5,T_1 vs B_1,4.0
88,wb3a1943,1132.2000000476835,A_5 vs T_5,5.0
89,wb3a1943,1739.7000000476835,T_1 vs D_1,4.0
90,wb3a1943,892.4000000953674,A_2 vs T_2,5.0
91,wb3a1943,547.2999999523163,T_5 vs D_5,5.0
92,wb3a1943,324.0,D_5 vs T_5,5.0
93,wb3a1943,1891.199999809265,T_6 vs C_6,4.0
94,wb3a1943,1083.9000000953674,B_6 vs T_6,3.0
95,wb3a1943,683.2999999523163,C_5 vs T_5,5.0
96,w895ea4d,814.0999999940395,T_2 vs B_2,4.0
97,w895ea4d,412.7999999821186,D_3 vs T_3,4.0
98,w895ea4d,1391.199999988079,B_4 vs T_4,4.0
99,w895ea4d,1558.800000011921,T_3 vs D_3,4.0
100,w895ea4d,678.5,T_2 vs A_2,4.0
101,w895ea4d,566.5,T_5 vs D_5,4.0
102,w895ea4d,404.5,T_6 vs D_6,4.0
