,wid,rt,stimulus,response,stimulus_set
0,w0e1d2bf,5135.899999976158,C_2 vs T_2,4.0,2
1,w0e1d2bf,2949.400000035763,T_2 vs C_2,4.0,2
2,w0e1d2bf,5718.100000023842,B_4 vs T_4,1.0,4
3,w0e1d2bf,7543.900000035763,B_6 vs T_6,2.0,6
4,w0e1d2bf,3794.700000047684,T_5 vs B_5,0.0,5
5,w0e1d2bf,4156.5,A_5 vs T_5,3.0,5
6,w0e1d2bf,3811.899999976158,T_1 vs C_1,4.0,1
7,w0e1d2bf,5537.800000011921,T_3 vs D_3,3.0,3
8,w0e1d2bf,9415.900000035765,D_1 vs T_1,0.0,1
9,w0e1d2bf,1334.0,T_3 vs A_3,3.0,3
10,w0e1d2bf,3208.699999988079,T_6 vs D_6,3.0,6
11,w0e1d2bf,5311.300000011921,C_3 vs T_3,4.0,3
12,w0e1d2bf,1766.300000011921,A_6 vs T_6,2.0,6
13,w0e1d2bf,5122.199999988079,T_6 vs A_6,3.0,6
14,w0e1d2bf,4165.300000011921,B_3 vs T_3,3.0,3
15,w0e1d2bf,7696.800000011921,B_2 vs T_2,1.0,2
16,w0e1d2bf,1942.300000011921,T_2 vs D_2,0.0,2
17,w0e1d2bf,4215.200000047684,T_6 vs C_6,2.0,6
18,w0e1d2bf,6139.600000023842,D_2 vs T_2,0.0,2
19,w0e1d2bf,3681.099999964237,A_2 vs T_2,4.0,2
20,w0e1d2bf,4497.600000023842,D_3 vs T_3,2.0,3
21,w0e1d2bf,3428.0,T_3 vs C_3,3.0,3
22,w0e1d2bf,3660.5,A_4 vs T_4,6.0,4
23,w0e1d2bf,2819.300000011921,T_5 vs D_5,0.0,5
24,w0e1d2bf,1316.399999976158,T_1 vs B_1,0.0,1
25,w0e1d2bf,4668.099999964237,D_5 vs T_5,0.0,5
26,w0e1d2bf,2306.199999988079,D_6 vs T_6,3.0,6
27,w0e1d2bf,1940.4000000357628,C_5 vs T_5,4.0,5
28,w0e1d2bf,2028.5999999642368,T_4 vs B_4,3.0,4
29,w0e1d2bf,2136.899999976158,C_6 vs T_6,2.0,6
30,w0e1d2bf,1648.399999976158,D_4 vs T_4,0.0,4
31,w0e1d2bf,1491.0,T_4 vs D_4,0.0,4
32,w0e1d2bf,2964.800000011921,A_1 vs T_1,2.0,1
33,w0e1d2bf,1930.199999988079,T_1 vs A_1,2.0,1
34,w0e1d2bf,5707.199999988079,T_5 vs A_5,4.0,5
35,w0e1d2bf,1954.699999988079,T_2 vs A_2,5.0,2
36,w0e1d2bf,1662.600000023842,A_3 vs T_3,2.0,3
37,w0e1d2bf,1841.0,C_1 vs T_1,4.0,1
38,w0e1d2bf,3295.200000047684,T_6 vs B_6,2.0,6
39,w0e1d2bf,2268.300000011921,B_5 vs T_5,2.0,5
40,w0e1d2bf,1332.899999976158,B_1 vs T_1,0.0,1
41,w0e1d2bf,3248.5,T_5 vs C_5,1.0,5
42,w0e1d2bf,1416.0,T_4 vs C_4,1.0,4
43,w0e1d2bf,1240.300000011921,T_4 vs A_4,1.0,4
44,w0e1d2bf,1098.5999999642372,C_4 vs T_4,1.0,4
45,w0e1d2bf,3163.100000023842,T_2 vs B_2,1.0,2
46,w0e1d2bf,659.7999999523163,T_1 vs D_1,0.0,1
47,w0e1d2bf,816.0999999642372,T_3 vs B_3,2.0,3
48,w1d1ffa4,5827.5,T_6 vs D_6,6.0,6
49,w1d1ffa4,1859.6999999284744,A_5 vs T_5,7.0,5
50,w1d1ffa4,2784.100000023842,A_3 vs T_3,8.0,3
51,w1d1ffa4,1271.7000000476835,T_5 vs C_5,7.0,5
52,w1d1ffa4,1380.600000023842,T_6 vs C_6,5.0,6
53,w1d1ffa4,1385.399999976158,C_4 vs T_4,8.0,4
54,w1d1ffa4,1272.600000023842,B_4 vs T_4,4.0,4
55,w1d1ffa4,1123.4000000953674,T_4 vs A_4,7.0,4
56,w1d1ffa4,1741.100000023842,T_1 vs B_1,0.0,1
57,w1d1ffa4,879.0,D_6 vs T_6,6.0,6
58,w1d1ffa4,611.1000000238419,T_2 vs B_2,6.0,2
59,w1d1ffa4,1056.0999999046326,T_6 vs B_6,6.0,6
60,w1d1ffa4,502.5,T_2 vs C_2,6.0,2
61,w1d1ffa4,2208.6999999284744,T_3 vs A_3,6.0,3
62,w1d1ffa4,633.5,A_6 vs T_6,6.0,6
63,w1d1ffa4,706.1000000238419,B_5 vs T_5,7.0,5
64,w1d1ffa4,1675.5,T_4 vs D_4,4.0,4
65,w1d1ffa4,2178.100000023842,T_5 vs D_5,1.0,5
